ip, state, numofp
59.66.52.23,up,3
59.66.52.24,up,0
59.66.52.25,up,0
59.66.52.28,up,1
59.66.52.30,up,1
59.66.52.31,up,0
59.66.52.36,up,0
59.66.52.39,up,0
59.66.53.189,up,0
59.66.53.210,up,0
59.66.54.44,up,1
59.66.54.47,up,0
59.66.54.50,up,0
59.66.54.77,up,0
59.66.54.101,up,3
59.66.54.112,up,0
59.66.54.141,up,0
59.66.54.174,up,0
59.66.54.212,up,0
59.66.54.214,up,5
59.66.54.218,up,0
59.66.54.230,up,0
59.66.55.69,up,0
59.66.55.77,up,0
59.66.55.86,up,3
59.66.56.1,up,5
59.66.56.9,up,2
59.66.56.11,up,2
59.66.56.20,up,2
59.66.56.40,up,2
59.66.56.64,up,2
59.66.56.65,up,3
59.66.56.76,up,2
59.66.56.77,up,4
59.66.56.82,up,2
59.66.56.87,up,2
59.66.56.92,up,2
59.66.56.94,up,2
59.66.56.105,up,3
59.66.56.106,up,2
59.66.56.108,up,2
59.66.56.131,up,2
59.66.56.134,up,2
59.66.56.137,up,2
59.66.56.165,up,2
59.66.56.176,up,4
59.66.56.182,up,4
59.66.56.185,up,2
59.66.56.195,up,2
59.66.56.209,up,2
59.66.56.235,up,2
59.66.56.238,up,2
59.66.57.11,up,2
59.66.57.30,up,2
59.66.57.51,up,2
59.66.57.64,up,3
59.66.57.67,up,4
59.66.57.69,up,10
59.66.57.79,up,2
59.66.57.100,up,2
59.66.57.104,up,2
59.66.57.113,up,4
59.66.57.117,up,2
59.66.57.121,up,4
59.66.57.194,up,4
59.66.57.200,up,2
59.66.57.247,up,2
59.66.58.1,up,6
59.66.58.4,up,0
59.66.58.21,up,0
59.66.58.28,up,1
59.66.58.33,up,0
59.66.58.36,up,1
59.66.58.37,up,2
59.66.58.38,up,0
59.66.58.43,up,1
59.66.58.44,up,0
59.66.58.49,up,1
59.66.58.56,up,4
59.66.58.59,up,0
59.66.58.87,up,0
59.66.58.148,up,3
59.66.58.201,up,1
59.66.58.224,up,0
59.66.58.225,up,0
59.66.60.1,up,10
59.66.60.4,up,2
59.66.60.11,up,2
59.66.60.13,up,4
59.66.60.16,up,2
59.66.60.18,up,2
59.66.60.22,up,2
59.66.60.28,up,2
59.66.60.35,up,10
59.66.60.39,up,3
59.66.60.48,up,2
59.66.60.56,up,2
59.66.60.68,up,2
59.66.60.72,up,5
59.66.60.94,up,4
59.66.60.96,up,2
59.66.60.112,up,2
59.66.60.123,up,2
59.66.60.134,up,3
59.66.60.135,up,2
59.66.60.155,up,2
59.66.60.160,up,11
59.66.60.185,up,2
59.66.60.186,up,2
59.66.60.194,up,2
59.66.60.205,up,2
59.66.60.217,up,5
59.66.60.233,up,2
59.66.60.249,up,2
59.66.60.251,up,2
59.66.61.26,up,4
59.66.61.31,up,4
59.66.61.33,up,10
59.66.61.52,up,2
59.66.61.54,up,12
59.66.61.55,up,2
59.66.61.69,up,18
59.66.61.76,up,2
59.66.61.83,up,3
59.66.61.85,up,2
59.66.61.86,up,2
59.66.61.96,up,2
59.66.61.128,up,2
59.66.61.134,up,2
59.66.61.135,up,2
59.66.61.141,up,2
59.66.61.147,up,2
59.66.61.148,up,2
59.66.61.169,up,2
59.66.61.184,up,2
59.66.61.185,up,2
59.66.61.199,up,2
59.66.61.202,up,2
59.66.61.211,up,2
59.66.61.215,up,4
59.66.61.250,up,4
59.66.62.8,up,4
59.66.62.19,up,2
59.66.62.61,up,2
59.66.62.162,up,4
59.66.62.205,up,3
59.66.62.235,up,2
59.66.63.26,up,4
59.66.63.37,up,0
59.66.63.46,up,3
59.66.63.67,up,5
59.66.63.79,up,3
59.66.63.143,up,2
59.66.63.149,up,2
59.66.63.153,up,3
59.66.68.1,up,1
59.66.68.8,up,0
59.66.68.12,up,10
59.66.68.17,up,0
59.66.68.18,up,0
59.66.68.27,up,0
59.66.68.29,up,0
59.66.68.34,up,0
59.66.68.45,up,0
59.66.68.53,up,0
59.66.68.55,up,0
59.66.68.105,up,0
59.66.74.35,up,5
59.66.80.12,up,2
59.66.80.151,up,4
59.66.80.160,up,2
59.66.80.162,up,3
59.66.80.169,up,4
59.66.80.184,up,2
59.66.80.246,up,2
59.66.81.1,up,5
59.66.81.129,up,5
59.66.81.140,up,5
59.66.81.151,up,3
59.66.81.152,up,3
59.66.81.153,up,15
59.66.81.155,up,2
59.66.81.173,up,4
59.66.81.175,up,2
59.66.81.178,up,2
59.66.81.185,up,2
59.66.81.200,up,2
59.66.82.1,up,5
59.66.82.2,up,5
59.66.82.3,up,2
59.66.82.4,up,2
59.66.82.5,up,2
59.66.82.6,up,2
59.66.82.7,up,2
59.66.82.8,up,2
59.66.82.9,up,2
59.66.82.10,up,2
59.66.82.11,up,2
59.66.82.12,up,2
59.66.82.13,up,2
59.66.82.14,up,2
59.66.83.1,up,5
59.66.83.2,up,5
59.66.83.3,up,2
59.66.83.5,up,2
59.66.83.6,up,2
59.66.83.7,up,2
59.66.83.8,up,2
59.66.83.9,up,2
59.66.83.10,up,2
59.66.83.11,up,2
59.66.83.14,up,4
59.66.83.24,up,2
59.66.83.25,up,2
59.66.83.28,up,2
59.66.83.31,up,2
59.66.83.40,up,2
59.66.83.47,up,2
59.66.83.68,up,2
59.66.83.80,up,2
59.66.83.129,up,5
59.66.84.1,up,5
59.66.86.141,up,4
59.66.86.142,up,1
59.66.86.143,up,1
59.66.86.145,up,1
59.66.86.146,up,1
59.66.86.147,up,1
59.66.86.148,up,4
59.66.86.149,up,1
59.66.86.150,up,1
59.66.86.157,up,1
59.66.86.158,up,1
59.66.86.193,up,2
59.66.86.236,up,2
59.66.86.237,up,2
59.66.86.239,up,2
59.66.86.253,up,2
59.66.88.1,up,5
59.66.88.2,up,5
59.66.88.3,up,2
59.66.88.4,up,2
59.66.88.5,up,2
59.66.88.6,up,2
59.66.88.7,up,2
59.66.88.8,up,2
59.66.88.9,up,4
59.66.88.14,up,2
59.66.88.27,up,2
59.66.88.40,up,2
59.66.88.129,up,5
59.66.88.131,up,2
59.66.88.133,up,2
59.66.88.134,up,2
59.66.88.144,up,9
59.66.88.148,up,2
59.66.88.154,up,2
59.66.88.156,up,28
59.66.88.157,up,2
59.66.88.164,up,3
59.66.89.1,up,5
59.66.89.11,up,3
59.66.89.13,up,2
59.66.89.19,up,2
59.66.89.89,up,2
59.66.89.129,up,5
59.66.89.148,up,12
59.66.89.151,up,11
59.66.89.152,up,3
59.66.89.190,up,2
59.66.89.195,up,2
59.66.89.203,up,5
59.66.90.1,up,5
59.66.90.2,up,5
59.66.90.3,up,2
59.66.106.1,up,5
59.66.106.6,up,3
59.66.106.11,up,8
59.66.106.13,up,6
59.66.106.15,up,2
59.66.106.18,up,2
59.66.106.56,up,5
59.66.107.1,up,5
59.66.107.129,up,5
59.66.108.1,up,5
59.66.109.1,up,5
59.66.109.5,up,2
59.66.109.9,up,1000
59.66.109.10,up,2
59.66.109.36,up,4
59.66.109.46,up,6
59.66.110.1,up,5
59.66.110.133,up,2
59.66.110.134,up,2
59.66.110.137,up,11
59.66.110.140,up,14
59.66.110.141,up,10
59.66.110.151,up,2
59.66.110.152,up,2
59.66.110.155,up,6
59.66.110.157,up,2
59.66.110.158,up,2
59.66.110.162,up,12
59.66.110.164,up,9
59.66.110.165,up,2
59.66.110.171,up,3
59.66.110.174,up,17
59.66.110.193,up,8
59.66.110.203,up,2
59.66.110.210,up,9
59.66.111.1,up,5
59.66.112.1,up,5
59.66.112.7,up,2
59.66.112.8,up,2
59.66.112.20,up,2
59.66.112.23,up,2
59.66.112.25,up,2
59.66.112.43,up,2
59.66.112.51,up,5
59.66.112.55,up,6
59.66.112.57,up,2
59.66.130.56,up,0
59.66.130.57,up,0
59.66.130.64,up,2
59.66.130.87,up,0
59.66.131.1,up,5
59.66.131.2,up,1
59.66.131.3,up,1
59.66.131.4,up,1
59.66.131.5,up,1
59.66.131.6,up,1
59.66.131.7,up,1
59.66.131.8,up,1
59.66.131.9,up,1
59.66.131.10,up,1
59.66.131.11,up,1
59.66.131.13,up,0
59.66.131.17,up,0
59.66.131.18,up,0
59.66.131.21,up,1
59.66.131.23,up,5
59.66.131.28,up,2
59.66.131.30,up,2
59.66.131.43,up,0
59.66.131.46,up,0
59.66.131.48,up,2
59.66.131.72,up,3
59.66.131.100,up,3
59.66.131.104,up,16
59.66.131.241,up,1
59.66.131.242,up,7
59.66.131.244,up,11
59.66.131.245,up,1
59.66.131.247,up,6
59.66.131.248,up,0
59.66.132.1,up,5
59.66.132.2,up,1
59.66.132.3,up,1
59.66.132.4,up,1
59.66.132.5,up,1
59.66.132.6,up,1
59.66.132.7,up,1
59.66.132.8,up,1
59.66.132.9,up,1
59.66.132.10,up,1
59.66.132.13,up,5
59.66.132.15,up,1
59.66.132.16,up,1
59.66.132.17,up,1
59.66.132.23,up,0
59.66.132.24,up,0
59.66.132.27,up,0
59.66.132.29,up,13
59.66.132.35,up,12
59.66.132.39,up,9
59.66.132.47,up,0
59.66.132.49,up,0
59.66.132.58,up,6
59.66.132.70,up,0
59.66.132.82,up,11
59.66.132.89,up,4
59.66.133.1,up,5
59.66.133.2,up,2
59.66.133.3,up,2
59.66.133.4,up,2
59.66.133.5,up,2
59.66.133.6,up,2
59.66.133.7,up,2
59.66.133.8,up,2
59.66.133.9,up,2
59.66.133.10,up,2
59.66.133.18,up,2
59.66.133.22,up,2
59.66.133.29,up,4
59.66.133.39,up,9
59.66.133.41,up,2
59.66.133.45,up,4
59.66.133.254,up,5
59.66.134.1,up,5
59.66.134.2,up,2
59.66.134.3,up,2
59.66.134.4,up,2
59.66.134.5,up,2
59.66.134.6,up,2
59.66.134.7,up,2
59.66.134.8,up,2
59.66.134.9,up,2
59.66.134.10,up,2
59.66.134.11,up,2
59.66.134.12,up,2
59.66.134.15,up,2
59.66.134.17,up,2
59.66.134.19,up,2
59.66.134.23,up,2
59.66.134.38,up,7
59.66.134.81,up,11
59.66.135.1,up,5
59.66.135.2,up,2
59.66.135.3,up,2
59.66.135.4,up,2
59.66.135.5,up,2
59.66.135.6,up,2
59.66.135.7,up,2
59.66.135.8,up,2
59.66.135.9,up,2
59.66.135.15,up,1
59.66.135.17,up,2
59.66.135.18,up,2
59.66.135.19,up,6
